Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000142186	167.73298185318006	0.6471253396191226	0.19538611707646783	3.318790700287642	9.04081650819672e-4	0.002680605271355137
ENSG00000142188	102.0699662734141	0.9714802303247868	0.15365184409077842	6.328062244559793	2.482590029388013e-10	2.665278333840688e-9
ENSG00000142192	257.6810655250135	0.09629538599245463	0.27336196715475886	0.35118677958155897	0.7254482276453533	0.7985419154921144
ENSG00000142197	164.5661128293763	-0.6543922558506652	0.1842987923600295	-3.562071605477842	3.67939991785746e-4	0.0011901352448193954
ENSG00000142207	241.70226946388442	0.003216430789603991	0.10758544198675789	0.024499186054334397	0.9804544329557474	0.987180859969865
ENSG00000142208	561.5411951207561	-0.41478575838076986	0.12285819156173516	-3.3756571202510686	7.363963089688386e-4	0.00222515535191476
ENSG00000142224	0.16334782026725236	0.04928167018972364	0.3128550679822631	0.157522328569199	0.8748332119088238	NA
ENSG00000142227	9.619738301520567	0.5054782640539618	0.2532579924225723	1.9968894996935704	0.045837188105922584	0.08548278998254445
ENSG00000142230	598.6481631847993	0.11294759496300638	0.058329975177935235	1.9370444654826076	0.052739908177440786	0.09650456266036003
ENSG00000142233	147.5047044004486	-0.2704093723795898	0.2783493407302547	-0.8469668852662315	0.3970135794228586	0.5076922150393783
ENSG00000142235	2.585518505500483	0.47453572219779344	0.45265514136134155	1.1980901204491692	0.23088193457732512	0.32883373560918516
ENSG00000142252	27.327721926752467	0.014759275104943499	0.18086472461723566	0.07974445873939008	0.9364404990608266	0.9579182838669058
ENSG00000142279	26.738030463732944	-0.38787167661037275	0.3264638948405486	-1.1641864487320994	0.2443484607334426	0.3440645526386801
ENSG00000142303	108.0023580170197	-0.7471948147449924	0.24017140174160376	-3.1248045120033456	0.0017792325895491707	0.004897532712569064
ENSG00000142319	72.13688558031055	-1.3215271374698156	0.21022237313915276	-6.352767526137692	2.114751939988146e-10	2.3031908583371154e-9
ENSG00000142327	63.799748293290826	0.27506130474164625	0.2338514647607648	1.1871590467671786	0.23516489124505313	0.33382938871580925
ENSG00000142330	72.60203739009556	-0.83160713743851	0.15001389617987387	-5.545879467150614	2.9248026589948e-8	2.168774583274316e-7
ENSG00000142347	2.9942629372602765	-0.36722159090471745	0.40054708602817674	-0.9432825006433236	0.3455364242701902	0.45473714325663955
ENSG00000142396	277.58995045739056	1.4516139688808591	0.17170513711853078	8.442893706208615	3.09576593659442e-17	8.28785256324821e-16
ENSG00000142405	1.8429889611058063	0.952137838702206	0.41043576736015386	2.2751953393993998	0.022894214335104763	0.04703246135099524
ENSG00000142408	3.665693787730219	0.6273983690912192	0.3358750970838346	1.8533312811671592	0.06383489023325713	0.11331713601151064
ENSG00000142409	113.00420485358006	0.41365533359721507	0.12617150172101055	3.276022305364674	0.0010528024569872016	0.003076592413437042
ENSG00000142444	73.84980269712509	0.6750967397324202	0.1422402175359855	4.738930558619397	2.1484911012242813e-6	1.1041307739689998e-5
ENSG00000142449	194.69652123835317	-1.5518059487038032	0.27561626054293836	-5.672906872707478	1.4039456017982426e-8	1.1047234768942829e-7
ENSG00000142453	337.18922634987825	-0.06281988808759967	0.10880189969791829	-0.5793132499025696	0.5623778267246862	0.661533567573764
ENSG00000142459	241.05164394582673	0.1047175278917993	0.1689614397774405	0.5908571534064142	0.5546161365893855	0.6544104520420915
ENSG00000142484	0.05442443159601077	-0.008997245956271249	0.2508889519050871	-0.03586124155310694	0.9713930007350197	NA
ENSG00000142494	3.3843512395327022	1.3217699797231226	0.4063723882032725	3.2778607854621375	0.0010459696774689966	0.0030591676578242
ENSG00000142507	181.59863495358036	0.7287017714388052	0.06790602001547522	10.73083280021374	7.293586202805607e-27	4.979465842536799e-25
ENSG00000142512	1.229064136234122	0.6364423029550876	0.44866595477267435	1.3763610935194854	0.16870986706806465	0.25408561861219153
ENSG00000142528	103.80331735863781	0.1822876958171319	0.10539259307755212	1.729322656513926	0.08375136389140873	0.142557875803225
ENSG00000142530	4.258033699385741	-0.17609762764881992	0.37774204956308155	-0.5285410151388672	0.5971238875487703	0.6920627146318459
ENSG00000142534	2333.784330559242	0.129861924206452	0.05177649661377393	2.5076715785183263	0.012152956363928262	0.027052734774024548
ENSG00000142538	1.9376436175893947	1.5588669314315386	0.42186600114609485	3.520393603225699	4.309068328777999e-4	0.001371930357137046
ENSG00000142541	3116.9542712445254	-0.03872643049607344	0.07815211745207566	-0.4969261336780133	0.6192411416659556	0.7102436320657315
ENSG00000142544	30.565980451431834	-0.4287354328679982	0.15163540052952748	-2.829683089002521	0.00465941318124139	0.01152614686579132
ENSG00000142546	99.3612083533252	0.11795260423922004	0.07991337403208902	1.4762450894704324	0.13987810912293341	0.2181143166573585
ENSG00000142549	0.8880778560047914	-0.8255195525490358	0.4480334895497255	-1.821141634105311	0.06858532990441676	0.12029232787359297
ENSG00000142552	12.056171893034117	-0.3186760015761976	0.30151825960928774	-1.1665075994139527	0.24340927786367744	0.3430626754283898
ENSG00000142556	181.8580225456236	0.7584344903374405	0.1591721660672647	4.75212894068656	2.0128593712054075e-6	1.0420437127594914e-5
ENSG00000142583	5.856633416999231	0.2766126568142278	0.35799018698702556	0.8263030847329915	0.40863218407847673	0.5194013710501624
ENSG00000142599	567.5451768172599	-0.556842817855732	0.1378894982942734	-4.038477066946347	5.379935193158216e-5	2.097101124073646e-4
ENSG00000142606	0.43237650632695285	-0.46114221106400244	0.40943561396603784	-1.102438915618085	0.2702709009536371	NA
ENSG00000142609	2.496932679036346	1.1401139934515487	0.4352531694946885	2.7275477577852603	0.006380702037176163	0.015246040341631932
ENSG00000142611	0.7616262457106296	0.2873588014245776	0.4239017471685457	0.8383845724748737	0.4018147511546835	0.5124926329662124
ENSG00000142615	0.4984776702113733	-0.047498408437155144	0.431851504945149	-0.11488730994689196	0.9085344436838803	NA
ENSG00000142619	0.1743953852240651	0.12025950046642696	0.315729846447254	0.3808939094697799	0.7032819719924515	NA
ENSG00000142621	1.2638334331385224	-0.32490774038220427	0.4413780103836209	-0.75133032377379	0.45245388399267883	0.5609407109020659
ENSG00000142623	0.04834848997704061	0.05126424179035835	0.2508889519050871	0.20432990599041762	0.838095701327113	NA
